Nome,Ano,Quantidade (Kg)
TINTAS,1970,284285642
Bacarina,1970,82899
Bailey,1970,0
Bordo,1970,7242197
Bourdin (S),1970,0
BRS Carmen,1970,0
BRS Cora,1970,0
BRS Magna,1970,0
BRS Margot,1970,0
BRS Morena,1970,0
BRS Núbia ,1970,0
BRS Rúbea,1970,0
BRS Violeta,1970,0
BRS Vitória,1970,0
Champagnon (Champanheta),1970,0
Coleções,1970,0
Concord,1970,5407624
Concord clone 30,1970,0
Couderc,1970,2713692
Cynthiana(1),1970,568653
Herbemont,1970,62053013
IAC 138022,1970,0
Isabel,1970,193840398
Isabel Precoce,1970,0
Jacquez,1970,390593
Kyoko,1970,0
Landot,1970,134384
Mistura de uvas americanas tinto,1970,0
Oberlin,1970,15682
Othello,1970,33013
Paco,1970,0
Patricia,1970,0
Seibel,1970,11803494
Seibel 2 (seibeleto),1970,0
Seyve Willard (Tinta),1970,0
Vênus,1970,0
BRANCAS E ROSADAS,1970,985007
Baco,1970,4647
Bokay,1970,0
BRS Bibiana ,1970,0
BRS Clara,1970,0
BRS Lorena,1970,0
Couderc 13,1970,0
Delaware,1970,22705
Dona Zillá,1970,0
Dut Chess,1970,0
Goethe,1970,311458
IAC,1970,0
Juliana,1970,0
Martha,1970,15045
Mistura de uvas americanas,1970,0
Moscato Embrapa,1970,0
Niagara,1970,631152
Niagara Branca,1970,0
Niagara Rosada,1970,0
Poloske,1970,0
Seleções,1970,0
Seyve Villard,1970,0
Seyve Villard 5276,1970,0
Seyve Villard 12375,1970,0
Tardia de Caxias,1970,0
Outras(2),1970,0
TINTAS,1971,193695427
Bacarina,1971,106962
Bailey,1971,0
Bordo,1971,7227090
Bourdin (S),1971,0
BRS Carmen,1971,0
BRS Cora,1971,0
BRS Magna,1971,0
BRS Margot,1971,0
BRS Morena,1971,0
BRS Núbia ,1971,0
BRS Rúbea,1971,0
BRS Violeta,1971,0
BRS Vitória,1971,0
Champagnon (Champanheta),1971,0
Coleções,1971,0
Concord,1971,3726469
Concord clone 30,1971,0
Couderc,1971,2835642
Cynthiana(1),1971,419550
Herbemont,1971,43864620
IAC 138022,1971,0
Isabel,1971,126754464
Isabel Precoce,1971,0
Jacquez,1971,203081
Kyoko,1971,0
Landot,1971,106917
Mistura de uvas americanas tinto,1971,0
Oberlin,1971,34722
Othello,1971,106190
Paco,1971,0
Patricia,1971,0
Seibel,1971,8309720
Seibel 2 (seibeleto),1971,0
Seyve Willard (Tinta),1971,0
Vênus,1971,0
BRANCAS E ROSADAS,1971,557294
Baco,1971,5873
Bokay,1971,0
BRS Bibiana ,1971,0
BRS Clara,1971,0
BRS Lorena,1971,0
Couderc 13,1971,0
Delaware,1971,22883
Dona Zillá,1971,0
Dut Chess,1971,0
Goethe,1971,267549
IAC,1971,0
Juliana,1971,0
Martha,1971,21972
Mistura de uvas americanas,1971,0
Moscato Embrapa,1971,0
Niagara,1971,239017
Niagara Branca,1971,0
Niagara Rosada,1971,0
Poloske,1971,0
Seleções,1971,0
Seyve Villard,1971,0
Seyve Villard 5276,1971,0
Seyve Villard 12375,1971,0
Tardia de Caxias,1971,0
Outras(2),1971,0
TINTAS,1972,187251954
Bacarina,1972,67464
Bailey,1972,0
Bordo,1972,6530686
Bourdin (S),1972,0
BRS Carmen,1972,0
BRS Cora,1972,0
BRS Magna,1972,0
BRS Margot,1972,0
BRS Morena,1972,0
BRS Núbia ,1972,0
BRS Rúbea,1972,0
BRS Violeta,1972,0
BRS Vitória,1972,0
Champagnon (Champanheta),1972,0
Coleções,1972,0
Concord,1972,2262221
Concord clone 30,1972,0
Couderc,1972,2550812
Cynthiana(1),1972,535172
Herbemont,1972,45765536
IAC 138022,1972,0
Isabel,1972,120365492
Isabel Precoce,1972,0
Jacquez,1972,278191
Kyoko,1972,0
Landot,1972,63740
Mistura de uvas americanas tinto,1972,0
Oberlin,1972,11136
Othello,1972,34525
Paco,1972,0
Patricia,1972,0
Seibel,1972,8786979
Seibel 2 (seibeleto),1972,0
Seyve Willard (Tinta),1972,0
Vênus,1972,0
BRANCAS E ROSADAS,1972,898576
Baco,1972,5084
Bokay,1972,0
BRS Bibiana ,1972,0
BRS Clara,1972,0
BRS Lorena,1972,0
Couderc 13,1972,0
Delaware,1972,7517
Dona Zillá,1972,0
Dut Chess,1972,0
Goethe,1972,472553
IAC,1972,0
Juliana,1972,0
Martha,1972,14716
Mistura de uvas americanas,1972,0
Moscato Embrapa,1972,0
Niagara,1972,253262
Niagara Branca,1972,0
Niagara Rosada,1972,0
Poloske,1972,0
Seleções,1972,0
Seyve Villard,1972,145444
Seyve Villard 5276,1972,0
Seyve Villard 12375,1972,0
Tardia de Caxias,1972,0
Outras(2),1972,0
TINTAS,1973,161593877
Bacarina,1973,58690
Bailey,1973,0
Bordo,1973,5584243
Bourdin (S),1973,0
BRS Carmen,1973,0
BRS Cora,1973,0
BRS Magna,1973,0
BRS Margot,1973,0
BRS Morena,1973,0
BRS Núbia ,1973,0
BRS Rúbea,1973,0
BRS Violeta,1973,0
BRS Vitória,1973,0
Champagnon (Champanheta),1973,0
Coleções,1973,0
Concord,1973,1850704
Concord clone 30,1973,0
Couderc,1973,2602220
Cynthiana(1),1973,360571
Herbemont,1973,33214347
IAC 138022,1973,0
Isabel,1973,109787700
Isabel Precoce,1973,0
Jacquez,1973,302686
Kyoko,1973,0
Landot,1973,80995
Mistura de uvas americanas tinto,1973,0
Oberlin,1973,9483
Othello,1973,17358
Paco,1973,0
Patricia,1973,0
Seibel,1973,7724880
Seibel 2 (seibeleto),1973,0
Seyve Willard (Tinta),1973,0
Vênus,1973,0
BRANCAS E ROSADAS,1973,231984
Baco,1973,0
Bokay,1973,0
BRS Bibiana ,1973,0
BRS Clara,1973,0
BRS Lorena,1973,0
Couderc 13,1973,0
Delaware,1973,0
Dona Zillá,1973,0
Dut Chess,1973,0
Goethe,1973,113941
IAC,1973,0
Juliana,1973,0
Martha,1973,5126
Mistura de uvas americanas,1973,0
Moscato Embrapa,1973,0
Niagara,1973,112917
Niagara Branca,1973,0
Niagara Rosada,1973,0
Poloske,1973,0
Seleções,1973,0
Seyve Villard,1973,0
Seyve Villard 5276,1973,0
Seyve Villard 12375,1973,0
Tardia de Caxias,1973,0
Outras(2),1973,0
TINTAS,1974,295404693
Bacarina,1974,138158
Bailey,1974,0
Bordo,1974,13341412
Bourdin (S),1974,0
BRS Carmen,1974,0
BRS Cora,1974,0
BRS Magna,1974,0
BRS Margot,1974,0
BRS Morena,1974,0
BRS Núbia ,1974,0
BRS Rúbea,1974,0
BRS Violeta,1974,0
BRS Vitória,1974,0
Champagnon (Champanheta),1974,0
Coleções,1974,0
Concord,1974,5218933
Concord clone 30,1974,0
Couderc,1974,5057735
Cynthiana(1),1974,605039
Herbemont,1974,65865189
IAC 138022,1974,0
Isabel,1974,191946376
Isabel Precoce,1974,0
Jacquez,1974,847092
Kyoko,1974,0
Landot,1974,103456
Mistura de uvas americanas tinto,1974,0
Oberlin,1974,47350
Othello,1974,54730
Paco,1974,0
Patricia,1974,0
Seibel,1974,12179223
Seibel 2 (seibeleto),1974,0
Seyve Willard (Tinta),1974,0
Vênus,1974,0
BRANCAS E ROSADAS,1974,2865338
Baco,1974,0
Bokay,1974,0
BRS Bibiana ,1974,0
BRS Clara,1974,0
BRS Lorena,1974,0
Couderc 13,1974,0
Delaware,1974,0
Dona Zillá,1974,0
Dut Chess,1974,0
Goethe,1974,371399
IAC,1974,0
Juliana,1974,0
Martha,1974,17486
Mistura de uvas americanas,1974,0
Moscato Embrapa,1974,0
Niagara,1974,2476453
Niagara Branca,1974,0
Niagara Rosada,1974,0
Poloske,1974,0
Seleções,1974,0
Seyve Villard,1974,0
Seyve Villard 5276,1974,0
Seyve Villard 12375,1974,0
Tardia de Caxias,1974,0
Outras(2),1974,0
TINTAS,1975,282003228
Bacarina,1975,101454
Bailey,1975,0
Bordo,1975,16023998
Bourdin (S),1975,0
BRS Carmen,1975,0
BRS Cora,1975,0
BRS Magna,1975,0
BRS Margot,1975,0
BRS Morena,1975,0
BRS Núbia ,1975,0
BRS Rúbea,1975,0
BRS Violeta,1975,0
BRS Vitória,1975,0
Champagnon (Champanheta),1975,0
Coleções,1975,0
Concord,1975,7361018
Concord clone 30,1975,0
Couderc,1975,4052782
Cynthiana(1),1975,544666
Herbemont,1975,48754240
IAC 138022,1975,0
Isabel,1975,193394592
Isabel Precoce,1975,0
Jacquez,1975,513846
Kyoko,1975,0
Landot,1975,104110
Mistura de uvas americanas tinto,1975,0
Oberlin,1975,17264
Othello,1975,53172
Paco,1975,0
Patricia,1975,0
Seibel,1975,11082086
Seibel 2 (seibeleto),1975,0
Seyve Willard (Tinta),1975,0
Vênus,1975,0
BRANCAS E ROSADAS,1975,2717527
Baco,1975,2610
Bokay,1975,0
BRS Bibiana ,1975,0
BRS Clara,1975,0
BRS Lorena,1975,0
Couderc 13,1975,0
Delaware,1975,0
Dona Zillá,1975,0
Dut Chess,1975,0
Goethe,1975,280190
IAC,1975,0
Juliana,1975,0
Martha,1975,13578
Mistura de uvas americanas,1975,0
Moscato Embrapa,1975,0
Niagara,1975,2409319
Niagara Branca,1975,0
Niagara Rosada,1975,0
Poloske,1975,0
Seleções,1975,0
Seyve Villard,1975,11830
Seyve Villard 5276,1975,0
Seyve Villard 12375,1975,0
Tardia de Caxias,1975,0
Outras(2),1975,0
TINTAS,1976,222289729
Bacarina,1976,57297
Bailey,1976,0
Bordo,1976,12725233
Bourdin (S),1976,0
BRS Carmen,1976,0
BRS Cora,1976,0
BRS Magna,1976,0
BRS Margot,1976,0
BRS Morena,1976,0
BRS Núbia ,1976,0
BRS Rúbea,1976,0
BRS Violeta,1976,0
BRS Vitória,1976,0
Champagnon (Champanheta),1976,0
Coleções,1976,0
Concord,1976,6140559
Concord clone 30,1976,0
Couderc,1976,4084126
Cynthiana(1),1976,351881
Herbemont,1976,41938949
IAC 138022,1976,0
Isabel,1976,146746340
Isabel Precoce,1976,0
Jacquez,1976,495973
Kyoko,1976,0
Landot,1976,87904
Mistura de uvas americanas tinto,1976,0
Oberlin,1976,10611
Othello,1976,77044
Paco,1976,0
Patricia,1976,0
Seibel,1976,9573812
Seibel 2 (seibeleto),1976,0
Seyve Willard (Tinta),1976,0
Vênus,1976,0
BRANCAS E ROSADAS,1976,1269187
Baco,1976,4172
Bokay,1976,0
BRS Bibiana ,1976,0
BRS Clara,1976,0
BRS Lorena,1976,0
Couderc 13,1976,0
Delaware,1976,0
Dona Zillá,1976,0
Dut Chess,1976,0
Goethe,1976,228609
IAC,1976,0
Juliana,1976,0
Martha,1976,1108
Mistura de uvas americanas,1976,0
Moscato Embrapa,1976,0
Niagara,1976,1035298
Niagara Branca,1976,0
Niagara Rosada,1976,0
Poloske,1976,0
Seleções,1976,0
Seyve Villard,1976,0
Seyve Villard 5276,1976,0
Seyve Villard 12375,1976,0
Tardia de Caxias,1976,0
Outras(2),1976,0
TINTAS,1977,272772106
Bacarina,1977,0
Bailey,1977,0
Bordo,1977,18714617
Bourdin (S),1977,0
BRS Carmen,1977,0
BRS Cora,1977,0
BRS Magna,1977,0
BRS Margot,1977,0
BRS Morena,1977,0
BRS Núbia ,1977,0
BRS Rúbea,1977,0
BRS Violeta,1977,0
BRS Vitória,1977,0
Champagnon (Champanheta),1977,0
Coleções,1977,0
Concord,1977,7387125
Concord clone 30,1977,0
Couderc,1977,4214237
Cynthiana(1),1977,738472
Herbemont,1977,53226940
IAC 138022,1977,0
Isabel,1977,175906184
Isabel Precoce,1977,0
Jacquez,1977,681039
Kyoko,1977,0
Landot,1977,62198
Mistura de uvas americanas tinto,1977,0
Oberlin,1977,22059
Othello,1977,46765
Paco,1977,0
Patricia,1977,0
Seibel,1977,11772470
Seibel 2 (seibeleto),1977,0
Seyve Willard (Tinta),1977,0
Vênus,1977,0
BRANCAS E ROSADAS,1977,2587615
Baco,1977,13095
Bokay,1977,0
BRS Bibiana ,1977,0
BRS Clara,1977,0
BRS Lorena,1977,0
Couderc 13,1977,0
Delaware,1977,0
Dona Zillá,1977,0
Dut Chess,1977,0
Goethe,1977,20404
IAC,1977,0
Juliana,1977,0
Martha,1977,921
Mistura de uvas americanas,1977,0
Moscato Embrapa,1977,0
Niagara,1977,2468965
Niagara Branca,1977,0
Niagara Rosada,1977,0
Poloske,1977,0
Seleções,1977,0
Seyve Villard,1977,84230
Seyve Villard 5276,1977,0
Seyve Villard 12375,1977,0
Tardia de Caxias,1977,0
Outras(2),1977,0
TINTAS,1978,295012354
Bacarina,1978,0
Bailey,1978,0
Bordo,1978,22247163
Bourdin (S),1978,0
BRS Carmen,1978,0
BRS Cora,1978,0
BRS Magna,1978,0
BRS Margot,1978,0
BRS Morena,1978,0
BRS Núbia ,1978,0
BRS Rúbea,1978,0
BRS Violeta,1978,0
BRS Vitória,1978,0
Champagnon (Champanheta),1978,0
Coleções,1978,0
Concord,1978,8520060
Concord clone 30,1978,0
Couderc,1978,4406881
Cynthiana(1),1978,491780
Herbemont,1978,46594020
IAC 138022,1978,0
Isabel,1978,202315021
Isabel Precoce,1978,0
Jacquez,1978,578872
Kyoko,1978,0
Landot,1978,44974
Mistura de uvas americanas tinto,1978,0
Oberlin,1978,13670
Othello,1978,59623
Paco,1978,0
Patricia,1978,0
Seibel,1978,9740290
Seibel 2 (seibeleto),1978,0
Seyve Willard (Tinta),1978,0
Vênus,1978,0
BRANCAS E ROSADAS,1978,3780127
Baco,1978,0
Bokay,1978,0
BRS Bibiana ,1978,0
BRS Clara,1978,0
BRS Lorena,1978,0
Couderc 13,1978,0
Delaware,1978,0
Dona Zillá,1978,0
Dut Chess,1978,0
Goethe,1978,347450
IAC,1978,0
Juliana,1978,0
Martha,1978,10749
Mistura de uvas americanas,1978,0
Moscato Embrapa,1978,0
Niagara,1978,3239522
Niagara Branca,1978,0
Niagara Rosada,1978,0
Poloske,1978,0
Seleções,1978,0
Seyve Villard,1978,182406
Seyve Villard 5276,1978,0
Seyve Villard 12375,1978,0
Tardia de Caxias,1978,0
Outras(2),1978,0
TINTAS,1979,301385687
Bacarina,1979,29525
Bailey,1979,0
Bordo,1979,20061699
Bourdin (S),1979,0
BRS Carmen,1979,0
BRS Cora,1979,0
BRS Magna,1979,0
BRS Margot,1979,0
BRS Morena,1979,0
BRS Núbia ,1979,0
BRS Rúbea,1979,0
BRS Violeta,1979,0
BRS Vitória,1979,0
Champagnon (Champanheta),1979,0
Coleções,1979,0
Concord,1979,9016712
Concord clone 30,1979,0
Couderc,1979,5113513
Cynthiana(1),1979,414158
Herbemont,1979,60116742
IAC 138022,1979,0
Isabel,1979,195149198
Isabel Precoce,1979,0
Jacquez,1979,657846
Kyoko,1979,0
Landot,1979,39884
Mistura de uvas americanas tinto,1979,0
Oberlin,1979,6207
Othello,1979,3638
Paco,1979,0
Patricia,1979,0
Seibel,1979,10776565
Seibel 2 (seibeleto),1979,0
Seyve Willard (Tinta),1979,0
Vênus,1979,0
BRANCAS E ROSADAS,1979,4786127
Baco,1979,0
Bokay,1979,0
BRS Bibiana ,1979,0
BRS Clara,1979,0
BRS Lorena,1979,0
Couderc 13,1979,0
Delaware,1979,19359
Dona Zillá,1979,0
Dut Chess,1979,0
Goethe,1979,70345
IAC,1979,0
Juliana,1979,0
Martha,1979,7396
Mistura de uvas americanas,1979,0
Moscato Embrapa,1979,0
Niagara,1979,3589475
Niagara Branca,1979,0
Niagara Rosada,1979,0
Poloske,1979,0
Seleções,1979,0
Seyve Villard,1979,1099552
Seyve Villard 5276,1979,0
Seyve Villard 12375,1979,0
Tardia de Caxias,1979,0
Outras(2),1979,0
TINTAS,1980,196759139
Bacarina,1980,37404
Bailey,1980,0
Bordo,1980,16495642
Bourdin (S),1980,0
BRS Carmen,1980,0
BRS Cora,1980,0
BRS Magna,1980,0
BRS Margot,1980,0
BRS Morena,1980,0
BRS Núbia ,1980,0
BRS Rúbea,1980,0
BRS Violeta,1980,0
BRS Vitória,1980,0
Champagnon (Champanheta),1980,0
Coleções,1980,0
Concord,1980,5640991
Concord clone 30,1980,0
Couderc,1980,4431263
Cynthiana(1),1980,285705
Herbemont,1980,31377059
IAC 138022,1980,0
Isabel,1980,129236559
Isabel Precoce,1980,0
Jacquez,1980,422025
Kyoko,1980,0
Landot,1980,36680
Mistura de uvas americanas tinto,1980,0
Oberlin,1980,1042
Othello,1980,37273
Paco,1980,0
Patricia,1980,0
Seibel,1980,8757496
Seibel 2 (seibeleto),1980,0
Seyve Willard (Tinta),1980,0
Vênus,1980,0
BRANCAS E ROSADAS,1980,4360271
Baco,1980,0
Bokay,1980,0
BRS Bibiana ,1980,0
BRS Clara,1980,0
BRS Lorena,1980,0
Couderc 13,1980,0
Delaware,1980,18249
Dona Zillá,1980,0
Dut Chess,1980,0
Goethe,1980,16057
IAC,1980,0
Juliana,1980,0
Martha,1980,980
Mistura de uvas americanas,1980,0
Moscato Embrapa,1980,0
Niagara,1980,4030127
Niagara Branca,1980,0
Niagara Rosada,1980,0
Poloske,1980,0
Seleções,1980,0
Seyve Villard,1980,294858
Seyve Villard 5276,1980,0
Seyve Villard 12375,1980,0
Tardia de Caxias,1980,0
Outras(2),1980,0
TINTAS,1981,290765867
Bacarina,1981,37893
Bailey,1981,0
Bordo,1981,20525530
Bourdin (S),1981,0
BRS Carmen,1981,0
BRS Cora,1981,0
BRS Magna,1981,0
BRS Margot,1981,0
BRS Morena,1981,0
BRS Núbia ,1981,0
BRS Rúbea,1981,0
BRS Violeta,1981,0
BRS Vitória,1981,0
Champagnon (Champanheta),1981,0
Coleções,1981,0
Concord,1981,10751352
Concord clone 30,1981,0
Couderc,1981,4779453
Cynthiana(1),1981,388118
Herbemont,1981,48717399
IAC 138022,1981,0
Isabel,1981,191757135
Isabel Precoce,1981,0
Jacquez,1981,553100
Kyoko,1981,0
Landot,1981,38773
Mistura de uvas americanas tinto,1981,0
Oberlin,1981,3428
Othello,1981,25750
Paco,1981,0
Patricia,1981,0
Seibel,1981,13187936
Seibel 2 (seibeleto),1981,0
Seyve Willard (Tinta),1981,0
Vênus,1981,0
BRANCAS E ROSADAS,1981,7412211
Baco,1981,0
Bokay,1981,0
BRS Bibiana ,1981,0
BRS Clara,1981,0
BRS Lorena,1981,0
Couderc 13,1981,0
Delaware,1981,4630
Dona Zillá,1981,0
Dut Chess,1981,0
Goethe,1981,72134
IAC,1981,0
Juliana,1981,0
Martha,1981,1041
Mistura de uvas americanas,1981,0
Moscato Embrapa,1981,0
Niagara,1981,6714199
Niagara Branca,1981,0
Niagara Rosada,1981,0
Poloske,1981,0
Seleções,1981,0
Seyve Villard,1981,620207
Seyve Villard 5276,1981,0
Seyve Villard 12375,1981,0
Tardia de Caxias,1981,0
Outras(2),1981,0
TINTAS,1982,341083460
Bacarina,1982,0
Bailey,1982,0
Bordo,1982,26385123
Bourdin (S),1982,0
BRS Carmen,1982,0
BRS Cora,1982,0
BRS Magna,1982,0
BRS Margot,1982,0
BRS Morena,1982,0
BRS Núbia ,1982,0
BRS Rúbea,1982,0
BRS Violeta,1982,0
BRS Vitória,1982,0
Champagnon (Champanheta),1982,0
Coleções,1982,0
Concord,1982,11470646
Concord clone 30,1982,0
Couderc,1982,6234132
Cynthiana(1),1982,400575
Herbemont,1982,48220049
IAC 138022,1982,0
Isabel,1982,237185186
Isabel Precoce,1982,0
Jacquez,1982,796363
Kyoko,1982,0
Landot,1982,30617
Mistura de uvas americanas tinto,1982,0
Oberlin,1982,5723
Othello,1982,37730
Paco,1982,0
Patricia,1982,0
Seibel,1982,10317316
Seibel 2 (seibeleto),1982,0
Seyve Willard (Tinta),1982,0
Vênus,1982,0
BRANCAS E ROSADAS,1982,13716818
Baco,1982,319
Bokay,1982,0
BRS Bibiana ,1982,0
BRS Clara,1982,0
BRS Lorena,1982,0
Couderc 13,1982,0
Delaware,1982,23875
Dona Zillá,1982,0
Dut Chess,1982,0
Goethe,1982,68360
IAC,1982,0
Juliana,1982,0
Martha,1982,3567
Mistura de uvas americanas,1982,0
Moscato Embrapa,1982,0
Niagara,1982,9863766
Niagara Branca,1982,0
Niagara Rosada,1982,0
Poloske,1982,0
Seleções,1982,0
Seyve Villard,1982,3756931
Seyve Villard 5276,1982,0
Seyve Villard 12375,1982,0
Tardia de Caxias,1982,0
Outras(2),1982,0
TINTAS,1983,170165573
Bacarina,1983,46640
Bailey,1983,0
Bordo,1983,14872674
Bourdin (S),1983,0
BRS Carmen,1983,0
BRS Cora,1983,0
BRS Magna,1983,0
BRS Margot,1983,0
BRS Morena,1983,0
BRS Núbia ,1983,0
BRS Rúbea,1983,0
BRS Violeta,1983,0
BRS Vitória,1983,0
Champagnon (Champanheta),1983,0
Coleções,1983,0
Concord,1983,6864134
Concord clone 30,1983,0
Couderc,1983,4643069
Cynthiana(1),1983,172523
Herbemont,1983,26085982
IAC 138022,1983,0
Isabel,1983,108170744
Isabel Precoce,1983,0
Jacquez,1983,427037
Kyoko,1983,0
