Produto,Ano,Quantidade (kg)
  Vinho acetificado,2002,2947650
  Vinho base para espumantes,2002,0
  Vinho composto,2002,300
  Vinho licoroso,2002,926253
  Vinho leve,2002,0
  Vinho gaseificado,2002,0
VINHO DE MESA,2003,217082959
  Tinto,2003,179225328
  Rosado,2003,6945806
  Branco,2003,30911825
VINHO  FINO DE MESA,2003,23293171
  Tinto,2003,12559693
  Rosado,2003,579724
  Branco,2003,10153754
VINHO FRIZANTE,2003,5203
VINHO ORGÂNICO,2003,0
VINHO ESPECIAL,2003,205269
  Tinto,2003,87544
  Rosado,2003,0
  Branco,2003,117725
ESPUMANTES ,2003,4798284
  Espumante  Moscatel,2003,594044
  Espumante,2003,4204240
  Espumante Orgânico,2003,0
SUCO DE UVAS,2003,7496195
  Suco Natural Integral,2003,0
  Suco Adoçado,2003,0
  Suco Reprocessado/reconstituido,2003,0
  Suco Orgânico,2003,0
  Outros sucos de uvas,2003,0
SUCO DE UVAS CONCENTRADO,2003,15246651
OUTROS PRODUTOS COMERCIALIZADOS,2003,29636903
  Outros vinhos (sem informação detalhada),2003,0
"  Agrin (fermentado, acetico misto)",2003,0
  Aguardente de vinho 50°gl,2003,0
  Alcool vinico,2003,0
  Bagaceira (graspa),2003,28128
  Base champenoise champanha,2003,0
  Base charmat champanha,2003,0
  Base espumante moscatel,2003,0
  Bebida de uva,2003,1767072
  Borra líquida,2003,0
  Borra seca,2003,0
  Brandy (conhaque),2003,2729201
  Cooler,2003,7355796
  Coquetel com vinho,2003,0
  Destilado de vinho,2003,169245
  Filtrado doce,2003,7954174
  Jeropiga,2003,52987
  Mistelas,2003,10435
  Mosto concentrado,2003,0
  Mosto de uva,2003,0
  Mosto sulfitado,2003,0
  Nectar de uva,2003,1085422
  Outros produtos,2003,0
  Polpa de uva,2003,0
  Preparado líquido para refresco,2003,94231
  Refrigerante +50% suco,2003,0
  Sangria,2003,330576
  Vinagre balsamico,2003,0
  Vinagre duplo,2003,0
  Vinagre simples,2003,2272996
  Vinho acetificado,2003,4314150
  Vinho base para espumantes,2003,0
  Vinho composto,2003,582970
  Vinho licoroso,2003,889520
  Vinho leve,2003,0
  Vinho gaseificado,2003,0
VINHO DE MESA,2004,225021830
  Tinto,2004,186236086
  Rosado,2004,5478618
  Branco,2004,33307126
VINHO  FINO DE MESA,2004,19884366
  Tinto,2004,10859722
  Rosado,2004,390371
  Branco,2004,8634273
VINHO FRIZANTE,2004,17225
VINHO ORGÂNICO,2004,0
VINHO ESPECIAL,2004,66989
  Tinto,2004,51824
  Rosado,2004,0
  Branco,2004,15165
ESPUMANTES ,2004,5485441
  Espumante  Moscatel,2004,673332
  Espumante,2004,4812109
  Espumante Orgânico,2004,0
SUCO DE UVAS,2004,8805190
  Suco Natural Integral,2004,0
  Suco Adoçado,2004,0
  Suco Reprocessado/reconstituido,2004,0
  Suco Orgânico,2004,0
  Outros sucos de uvas,2004,0
SUCO DE UVAS CONCENTRADO,2004,19218964
OUTROS PRODUTOS COMERCIALIZADOS,2004,32261664
  Outros vinhos (sem informação detalhada),2004,0
"  Agrin (fermentado, acetico misto)",2004,7861278
  Aguardente de vinho 50°gl,2004,0
  Alcool vinico,2004,0
  Bagaceira (graspa),2004,31294
  Base champenoise champanha,2004,0
  Base charmat champanha,2004,0
  Base espumante moscatel,2004,0
  Bebida de uva,2004,2977407
  Borra líquida,2004,0
  Borra seca,2004,0
  Brandy (conhaque),2004,2505882
  Cooler,2004,6674776
  Coquetel com vinho,2004,1428500
  Destilado de vinho,2004,171335
  Filtrado doce,2004,8558393
  Jeropiga,2004,31123
  Mistelas,2004,3741
  Mosto concentrado,2004,0
  Mosto de uva,2004,717
  Mosto sulfitado,2004,0
  Nectar de uva,2004,451845
  Outros produtos,2004,1491
  Polpa de uva,2004,832399
  Preparado líquido para refresco,2004,91243
  Refrigerante +50% suco,2004,0
  Sangria,2004,1118654
  Vinagre balsamico,2004,7059
  Vinagre duplo,2004,277450
  Vinagre simples,2004,1659785
  Vinho acetificado,2004,3396380
  Vinho base para espumantes,2004,19456
  Vinho composto,2004,1251605
  Vinho licoroso,2004,771129
  Vinho leve,2004,0
  Vinho gaseificado,2004,0
VINHO DE MESA,2005,271248493
  Tinto,2005,227987458
  Rosado,2005,3562059
  Branco,2005,39698976
VINHO  FINO DE MESA,2005,22306004
  Tinto,2005,13335767
  Rosado,2005,472971
  Branco,2005,8497266
VINHO FRIZANTE,2005,111666
VINHO ORGÂNICO,2005,0
VINHO ESPECIAL,2005,285994
  Tinto,2005,278339
  Rosado,2005,0
  Branco,2005,7655
ESPUMANTES ,2005,6776672
  Espumante  Moscatel,2005,1071448
  Espumante,2005,5705224
  Espumante Orgânico,2005,0
SUCO DE UVAS,2005,14675316
  Suco Natural Integral,2005,0
  Suco Adoçado,2005,0
  Suco Reprocessado/reconstituido,2005,0
  Suco Orgânico,2005,0
  Outros sucos de uvas,2005,0
SUCO DE UVAS CONCENTRADO,2005,23221898
OUTROS PRODUTOS COMERCIALIZADOS,2005,32226420
  Outros vinhos (sem informação detalhada),2005,0
"  Agrin (fermentado, acetico misto)",2005,7419736
  Aguardente de vinho 50°gl,2005,0
  Alcool vinico,2005,0
  Bagaceira (graspa),2005,31048
  Base champenoise champanha,2005,0
  Base charmat champanha,2005,0
  Base espumante moscatel,2005,0
  Bebida de uva,2005,4533973
  Borra líquida,2005,0
  Borra seca,2005,0
  Brandy (conhaque),2005,2074381
  Cooler,2005,6005392
  Coquetel com vinho,2005,1286524
  Destilado de vinho,2005,167878
  Filtrado doce,2005,7990925
  Jeropiga,2005,23553
  Mistelas,2005,5009
  Mosto concentrado,2005,0
  Mosto de uva,2005,233420
  Mosto sulfitado,2005,0
  Nectar de uva,2005,362230
  Outros produtos,2005,1579563
  Polpa de uva,2005,940619
  Preparado líquido para refresco,2005,126667
  Refrigerante +50% suco,2005,0
  Sangria,2005,1142453
  Vinagre balsamico,2005,9338
  Vinagre duplo,2005,93100
  Vinagre simples,2005,1785401
  Vinho acetificado,2005,1959030
  Vinho base para espumantes,2005,30000
  Vinho composto,2005,1104777
  Vinho licoroso,2005,741139
  Vinho leve,2005,0
  Vinho gaseificado,2005,0
VINHO DE MESA,2006,245625614
  Tinto,2006,209438207
  Rosado,2006,3071382
  Branco,2006,33116025
VINHO  FINO DE MESA,2006,22767358
  Tinto,2006,13920655
  Rosado,2006,307189
  Branco,2006,8539514
VINHO FRIZANTE,2006,258248
VINHO ORGÂNICO,2006,0
VINHO ESPECIAL,2006,172176
  Tinto,2006,171361
  Rosado,2006,0
  Branco,2006,815
ESPUMANTES ,2006,7728838
  Espumante  Moscatel,2006,1320959
  Espumante,2006,6407879
  Espumante Orgânico,2006,0
SUCO DE UVAS,2006,15640857
  Suco Natural Integral,2006,0
  Suco Adoçado,2006,0
  Suco Reprocessado/reconstituido,2006,0
  Suco Orgânico,2006,0
  Outros sucos de uvas,2006,0
SUCO DE UVAS CONCENTRADO,2006,23228388
OUTROS PRODUTOS COMERCIALIZADOS,2006,27088994
  Outros vinhos (sem informação detalhada),2006,0
"  Agrin (fermentado, acetico misto)",2006,7677906
  Aguardente de vinho 50°gl,2006,0
  Alcool vinico,2006,0
  Bagaceira (graspa),2006,29939
  Base champenoise champanha,2006,0
  Base charmat champanha,2006,0
  Base espumante moscatel,2006,0
  Bebida de uva,2006,5097873
  Borra líquida,2006,0
  Borra seca,2006,0
  Brandy (conhaque),2006,5500
  Cooler,2006,5067810
  Coquetel com vinho,2006,932979
  Destilado de vinho,2006,194434
  Filtrado doce,2006,7820382
  Jeropiga,2006,46926
  Mistelas,2006,4500
  Mosto concentrado,2006,0
  Mosto de uva,2006,7740
  Mosto sulfitado,2006,0
  Nectar de uva,2006,358963
  Outros produtos,2006,5934
  Polpa de uva,2006,987828
  Preparado líquido para refresco,2006,632074
  Refrigerante +50% suco,2006,0
  Sangria,2006,1208403
  Vinagre balsamico,2006,9344
  Vinagre duplo,2006,125312
  Vinagre simples,2006,2088195
  Vinho acetificado,2006,892770
  Vinho base para espumantes,2006,68
  Vinho composto,2006,844292
  Vinho licoroso,2006,727728
  Vinho leve,2006,0
  Vinho gaseificado,2006,0
VINHO DE MESA,2007,226710045
  Tinto,2007,190526781
  Rosado,2007,2252558
  Branco,2007,29122090
VINHO  FINO DE MESA,2007,21485699
  Tinto,2007,13872339
  Rosado,2007,416285
  Branco,2007,7197075
VINHO FRIZANTE,2007,250114
VINHO ORGÂNICO,2007,0
VINHO ESPECIAL,2007,106333
  Tinto,2007,106333
  Rosado,2007,0
  Branco,2007,0
ESPUMANTES ,2007,8596406
  Espumante  Moscatel,2007,1585203
  Espumante,2007,7011203
  Espumante Orgânico,2007,0
SUCO DE UVAS,2007,18514411
  Suco Natural Integral,2007,0
  Suco Adoçado,2007,0
  Suco Reprocessado/reconstituido,2007,0
  Suco Orgânico,2007,0
  Outros sucos de uvas,2007,0
SUCO DE UVAS CONCENTRADO,2007,25603588
OUTROS PRODUTOS COMERCIALIZADOS,2007,27833872
  Outros vinhos (sem informação detalhada),2007,0
"  Agrin (fermentado, acetico misto)",2007,7188135
  Aguardente de vinho 50°gl,2007,0
  Alcool vinico,2007,0
  Bagaceira (graspa),2007,21186
  Base champenoise champanha,2007,0
  Base charmat champanha,2007,0
  Base espumante moscatel,2007,0
  Bebida de uva,2007,5369833
  Borra líquida,2007,0
  Borra seca,2007,24543
  Brandy (conhaque),2007,5929
  Cooler,2007,5008953
  Coquetel com vinho,2007,798624
  Destilado de vinho,2007,139410
  Filtrado doce,2007,7586058
  Jeropiga,2007,19926
  Mistelas,2007,3430
  Mosto concentrado,2007,0
  Mosto de uva,2007,2000
  Mosto sulfitado,2007,0
  Nectar de uva,2007,541685
  Outros produtos,2007,597586
  Polpa de uva,2007,1177805
  Preparado líquido para refresco,2007,753842
  Refrigerante +50% suco,2007,0
  Sangria,2007,541088
  Vinagre balsamico,2007,17384
  Vinagre duplo,2007,479747
  Vinagre simples,2007,2338035
  Vinho acetificado,2007,921000
  Vinho base para espumantes,2007,0
  Vinho composto,2007,898156
  Vinho licoroso,2007,587652
  Vinho leve,2007,0
  Vinho gaseificado,2007,0
VINHO DE MESA,2008,200488612
  Tinto,2008,172020779
  Rosado,2008,1840779
  Branco,2008,26627054
VINHO  FINO DE MESA,2008,23167738
  Tinto,2008,13920224
  Rosado,2008,313513
  Branco,2008,8934001
VINHO FRIZANTE,2008,441691
VINHO ORGÂNICO,2008,0
VINHO ESPECIAL,2008,65
  Tinto,2008,65
  Rosado,2008,0
  Branco,2008,0
ESPUMANTES ,2008,9539610
  Espumante  Moscatel,2008,1905395
  Espumante,2008,7634215
  Espumante Orgânico,2008,0
SUCO DE UVAS,2008,21568032
  Suco Natural Integral,2008,0
  Suco Adoçado,2008,0
  Suco Reprocessado/reconstituido,2008,0
  Suco Orgânico,2008,0
  Outros sucos de uvas,2008,0
SUCO DE UVAS CONCENTRADO,2008,27880465
OUTROS PRODUTOS COMERCIALIZADOS,2008,28697650
  Outros vinhos (sem informação detalhada),2008,0
"  Agrin (fermentado, acetico misto)",2008,7268443
  Aguardente de vinho 50°gl,2008,0
  Alcool vinico,2008,0
  Bagaceira (graspa),2008,23195
  Base champenoise champanha,2008,69800
  Base charmat champanha,2008,56
  Base espumante moscatel,2008,12794
  Bebida de uva,2008,3888187
  Borra líquida,2008,0
  Borra seca,2008,18640
  Brandy (conhaque),2008,6606
  Cooler,2008,4367404
  Coquetel com vinho,2008,791532
  Destilado de vinho,2008,32281
  Filtrado doce,2008,7551842
  Jeropiga,2008,10796
  Mistelas,2008,3340
  Mosto concentrado,2008,0
  Mosto de uva,2008,0
  Mosto sulfitado,2008,0
  Nectar de uva,2008,2019104
  Outros produtos,2008,743367
  Polpa de uva,2008,1316846
  Preparado líquido para refresco,2008,694816
  Refrigerante +50% suco,2008,0
  Sangria,2008,455704
  Vinagre balsamico,2008,20395
  Vinagre duplo,2008,687430
  Vinagre simples,2008,2813447
  Vinho acetificado,2008,1547161
  Vinho base para espumantes,2008,0
  Vinho composto,2008,1065845
  Vinho licoroso,2008,557062
  Vinho leve,2008,0
  Vinho gaseificado,2008,0
VINHO DE MESA,2009,234525979
  Tinto,2009,193004182
  Rosado,2009,2307580
  Branco,2009,39214217
VINHO  FINO DE MESA,2009,33080270
  Tinto,2009,19576295
  Rosado,2009,213835
  Branco,2009,13290140
VINHO FRIZANTE,2009,1003596
VINHO ORGÂNICO,2009,0
VINHO ESPECIAL,2009,113
  Tinto,2009,113
  Rosado,2009,0
  Branco,2009,0
ESPUMANTES ,2009,11242890
  Espumante  Moscatel,2009,2500230
  Espumante,2009,8742660
  Espumante Orgânico,2009,0
SUCO DE UVAS,2009,29131455
  Suco Natural Integral,2009,0
  Suco Adoçado,2009,0
  Suco Reprocessado/reconstituido,2009,0
  Suco Orgânico,2009,0
  Outros sucos de uvas,2009,0
SUCO DE UVAS CONCENTRADO,2009,31861857
OUTROS PRODUTOS COMERCIALIZADOS,2009,26554757
  Outros vinhos (sem informação detalhada),2009,0
"  Agrin (fermentado, acetico misto)",2009,6745427
  Aguardente de vinho 50°gl,2009,0
  Alcool vinico,2009,0
  Bagaceira (graspa),2009,21133
  Base champenoise champanha,2009,0
  Base charmat champanha,2009,0
  Base espumante moscatel,2009,0
  Bebida de uva,2009,1279586
  Borra líquida,2009,12000
  Borra seca,2009,0
  Brandy (conhaque),2009,7151
  Cooler,2009,4561959
  Coquetel com vinho,2009,1354734
  Destilado de vinho,2009,100
  Filtrado doce,2009,6533888
  Jeropiga,2009,14443
  Mistelas,2009,7034
  Mosto concentrado,2009,0
  Mosto de uva,2009,0
  Mosto sulfitado,2009,0
  Nectar de uva,2009,4933019
  Outros produtos,2009,418132
  Polpa de uva,2009,1339958
  Preparado líquido para refresco,2009,467005
  Refrigerante +50% suco,2009,0
  Sangria,2009,192082
  Vinagre balsamico,2009,36937
  Vinagre duplo,2009,426804
  Vinagre simples,2009,2996318
  Vinho acetificado,2009,808389
  Vinho base para espumantes,2009,10649
  Vinho composto,2009,542123
  Vinho licoroso,2009,591313
  Vinho leve,2009,0
  Vinho gaseificado,2009,0
VINHO DE MESA,2010,221242945
  Tinto,2010,188649074
  Rosado,2010,2036928
  Branco,2010,30556943
VINHO  FINO DE MESA,2010,21390159
  Tinto,2010,15184398
  Rosado,2010,236802
  Branco,2010,5968959
VINHO FRIZANTE,2010,1851136
VINHO ORGÂNICO,2010,0
VINHO ESPECIAL,2010,293
  Tinto,2010,293
  Rosado,2010,0
  Branco,2010,0
ESPUMANTES ,2010,12647906
  Espumante  Moscatel,2010,2946179
  Espumante,2010,9701727
  Espumante Orgânico,2010,0
SUCO DE UVAS,2010,35164681
  Suco Natural Integral,2010,0
  Suco Adoçado,2010,0
  Suco Reprocessado/reconstituido,2010,0
  Suco Orgânico,2010,0
  Outros sucos de uvas,2010,0
SUCO DE UVAS CONCENTRADO,2010,30827991
OUTROS PRODUTOS COMERCIALIZADOS,2010,29023870
  Outros vinhos (sem informação detalhada),2010,0
"  Agrin (fermentado, acetico misto)",2010,6852708
  Aguardente de vinho 50°gl,2010,0
  Alcool vinico,2010,0
  Bagaceira (graspa),2010,16413
  Base champenoise champanha,2010,11
  Base charmat champanha,2010,42847
  Base espumante moscatel,2010,18418
  Bebida de uva,2010,763368
  Borra líquida,2010,13000
  Borra seca,2010,46000
  Brandy (conhaque),2010,6448
  Cooler,2010,4674272
  Coquetel com vinho,2010,977962
  Destilado de vinho,2010,31814
  Filtrado doce,2010,6611313
  Jeropiga,2010,37310
  Mistelas,2010,26577
  Mosto concentrado,2010,0
  Mosto de uva,2010,12438
  Mosto sulfitado,2010,0
  Nectar de uva,2010,5397459
  Outros produtos,2010,284824
  Polpa de uva,2010,2774322
  Preparado líquido para refresco,2010,377010
  Refrigerante +50% suco,2010,0
  Sangria,2010,172214
  Vinagre balsamico,2010,67502
  Vinagre duplo,2010,912242
  Vinagre simples,2010,3336175
  Vinho acetificado,2010,1123858
  Vinho base para espumantes,2010,0
  Vinho composto,2010,661586
  Vinho licoroso,2010,638487
  Vinho leve,2010,0
  Vinho gaseificado,2010,0
VINHO DE MESA,2011,230310468
  Tinto,2011,196562722
  Rosado,2011,1668823
  Branco,2011,32078923
VINHO  FINO DE MESA,2011,19967310
  Tinto,2011,14876896
  Rosado,2011,211484
  Branco,2011,4878930
VINHO FRIZANTE,2011,1706679
VINHO ORGÂNICO,2011,0
VINHO ESPECIAL,2011,699
  Tinto,2011,699
  Rosado,2011,0
  Branco,2011,0
ESPUMANTES ,2011,13305275
  Espumante  Moscatel,2011,2996441
  Espumante,2011,10308834
  Espumante Orgânico,2011,0
SUCO DE UVAS,2011,45222136
  Suco Natural Integral,2011,0
  Suco Adoçado,2011,0
  Suco Reprocessado/reconstituido,2011,0
  Suco Orgânico,2011,0
  Outros sucos de uvas,2011,0
SUCO DE UVAS CONCENTRADO,2011,34892316
OUTROS PRODUTOS COMERCIALIZADOS,2011,28783827
  Outros vinhos (sem informação detalhada),2011,0
"  Agrin (fermentado, acetico misto)",2011,5997697
  Aguardente de vinho 50°gl,2011,0
  Alcool vinico,2011,0
  Bagaceira (graspa),2011,18111
  Base champenoise champanha,2011,41134
  Base charmat champanha,2011,66220
  Base espumante moscatel,2011,22162
  Bebida de uva,2011,532821
  Borra líquida,2011,22016
  Borra seca,2011,73006
  Brandy (conhaque),2011,5640
  Cooler,2011,4684087
  Coquetel com vinho,2011,805235
  Destilado de vinho,2011,90364
  Filtrado doce,2011,7001836
  Jeropiga,2011,57887
  Mistelas,2011,983
  Mosto concentrado,2011,0
  Mosto de uva,2011,291399
  Mosto sulfitado,2011,0
  Nectar de uva,2011,5703340
  Outros produtos,2011,385029
  Polpa de uva,2011,1875782
  Preparado líquido para refresco,2011,367193
  Refrigerante +50% suco,2011,0
  Sangria,2011,158868
  Vinagre balsamico,2011,78540
  Vinagre duplo,2011,875720
  Vinagre simples,2011,3386303
  Vinho acetificado,2011,983700
  Vinho base para espumantes,2011,0
  Vinho composto,2011,662965
  Vinho licoroso,2011,593486
  Vinho leve,2011,0
  Vinho gaseificado,2011,0
VINHO DE MESA,2012,206969571
  Tinto,2012,173964776
  Rosado,2012,1738134
  Branco,2012,31266661
VINHO  FINO DE MESA,2012,22469950
  Tinto,2012,15443016
  Rosado,2012,150806
  Branco,2012,6876128
VINHO FRIZANTE,2012,1605767
VINHO ORGÂNICO,2012,0
VINHO ESPECIAL,2012,239
  Tinto,2012,239
  Rosado,2012,0
  Branco,2012,0
ESPUMANTES ,2012,14889147
  Espumante  Moscatel,2012,3610289
  Espumante,2012,11278858
  Espumante Orgânico,2012,0
SUCO DE UVAS,2012,53832204
  Suco Natural Integral,2012,0
  Suco Adoçado,2012,0
  Suco Reprocessado/reconstituido,2012,0
  Suco Orgânico,2012,0
  Outros sucos de uvas,2012,0
SUCO DE UVAS CONCENTRADO,2012,33529324
OUTROS PRODUTOS COMERCIALIZADOS,2012,30316511
  Outros vinhos (sem informação detalhada),2012,0
"  Agrin (fermentado, acetico misto)",2012,5311258
  Aguardente de vinho 50°gl,2012,0
  Alcool vinico,2012,0
  Bagaceira (graspa),2012,14710
  Base champenoise champanha,2012,42671
  Base charmat champanha,2012,46518
  Base espumante moscatel,2012,25921
  Bebida de uva,2012,261223
  Borra líquida,2012,21980
  Borra seca,2012,89000
  Brandy (conhaque),2012,5495
  Cooler,2012,4258333
  Coquetel com vinho,2012,907199
  Destilado de vinho,2012,30000
  Filtrado doce,2012,7108554
  Jeropiga,2012,55050
  Mistelas,2012,5097
  Mosto concentrado,2012,0
  Mosto de uva,2012,29304
  Mosto sulfitado,2012,0
  Nectar de uva,2012,5644055
  Outros produtos,2012,484205
  Polpa de uva,2012,1995839
  Preparado líquido para refresco,2012,613313
  Refrigerante +50% suco,2012,0
  Sangria,2012,73590
  Vinagre balsamico,2012,102259
  Vinagre duplo,2012,1208132
  Vinagre simples,2012,4027358
  Vinho acetificado,2012,2110450
  Vinho base para espumantes,2012,0
  Vinho composto,2012,510914
  Vinho licoroso,2012,645341
  Vinho leve,2012,0
  Vinho gaseificado,2012,0
VINHO DE MESA,2013,221590810
  Tinto,2013,188033494
  Rosado,2013,1777648
  Branco,2013,31779668
VINHO  FINO DE MESA,2013,27912934
  Tinto,2013,19121750
  Rosado,2013,214269
  Branco,2013,8576915
VINHO FRIZANTE,2013,1764851
VINHO ORGÂNICO,2013,0
VINHO ESPECIAL,2013,2257
  Tinto,2013,2257
  Rosado,2013,0
  Branco,2013,0
ESPUMANTES ,2013,15978504
  Espumante  Moscatel,2013,3783531
  Espumante,2013,12194973
  Espumante Orgânico,2013,0
SUCO DE UVAS,2013,75973297
  Suco Natural Integral,2013,0
  Suco Adoçado,2013,0
  Suco Reprocessado/reconstituido,2013,0
  Suco Orgânico,2013,0
  Outros sucos de uvas,2013,0
SUCO DE UVAS CONCENTRADO,2013,38369914
OUTROS PRODUTOS COMERCIALIZADOS,2013,36841561
  Outros vinhos (sem informação detalhada),2013,0
"  Agrin (fermentado, acetico misto)",2013,56936
  Aguardente de vinho 50°gl,2013,0
  Alcool vinico,2013,0
  Bagaceira (graspa),2013,17075
  Base champenoise champanha,2013,27078
