Nome,Ano,Quantidade (kg)
Bagaceira,1970,961290
Bagaceira,1971,913200
Bagaceira,1972,755350
Bagaceira,1973,661270
Bagaceira,1974,424620
Bagaceira,1975,576098
Bagaceira,1976,705912
Bagaceira,1977,828000
Bagaceira,1978,698200
Bagaceira,1979,938090
Bagaceira,1980,0
Bagaceira,1981,0
Bagaceira,1982,0
Bagaceira,1983,0
Bagaceira,1984,0
Bagaceira,1985,299500
Bagaceira,1986,156100
Bagaceira,1987,325600
Bagaceira,1988,29000
Bagaceira,1989,52000
Bagaceira,1990,55000
Bagaceira,1991,15000
Bagaceira,1992,10000
Bagaceira,1993,0
Bagaceira,1994,0
Bagaceira,1995,0
Bagaceira,1996,0
Bagaceira,1997,0
Bagaceira,1998,0
Bagaceira,1999,0
Bagaceira,2000,12700
Bagaceira,2001,10350
Bagaceira,2002,0
Bagaceira,2003,26800
Bagaceira,2004,66082
Bagaceira,2005,32050
Bagaceira,2006,24250
Bagaceira,2007,48500
Bagaceira,2008,8500
Bagaceira,2009,6500
Bagaceira,2010,0
Bagaceira,2011,0
Bagaceira,2012,0
Bagaceira,2013,0
Bagaceira,2014,0
Bagaceira,2015,1350
Bagaceira,2016,1000
Bagaceira,2017,900
Bagaceira,2018,2100
Bagaceira,2019,10495
Bagaceira,2020,0
Bagaceira,2021,12060
Bagaceira,2022,4998
Bagaceira,2023,0
Base Champenoise champanha,1970,0
Base Champenoise champanha,1971,0
Base Champenoise champanha,1972,0
Base Champenoise champanha,1973,0
Base Champenoise champanha,1974,0
Base Champenoise champanha,1975,0
Base Champenoise champanha,1976,0
Base Champenoise champanha,1977,0
Base Champenoise champanha,1978,0
Base Champenoise champanha,1979,0
Base Champenoise champanha,1980,0
Base Champenoise champanha,1981,0
Base Champenoise champanha,1982,0
Base Champenoise champanha,1983,0
Base Champenoise champanha,1984,0
Base Champenoise champanha,1985,0
Base Champenoise champanha,1986,0
Base Champenoise champanha,1987,0
Base Champenoise champanha,1988,0
Base Champenoise champanha,1989,0
Base Champenoise champanha,1990,0
Base Champenoise champanha,1991,0
Base Champenoise champanha,1992,0
Base Champenoise champanha,1993,0
Base Champenoise champanha,1994,0
Base Champenoise champanha,1995,0
Base Champenoise champanha,1996,0
Base Champenoise champanha,1997,0
Base Champenoise champanha,1998,0
Base Champenoise champanha,1999,0
Base Champenoise champanha,2000,0
Base Champenoise champanha,2001,0
Base Champenoise champanha,2002,0
Base Champenoise champanha,2003,0
Base Champenoise champanha,2004,0
Base Champenoise champanha,2005,0
Base Champenoise champanha,2006,0
Base Champenoise champanha,2007,0
Base Champenoise champanha,2008,0
Base Champenoise champanha,2009,0
Base Champenoise champanha,2010,92082
Base Champenoise champanha,2011,74746
Base Champenoise champanha,2012,369278
Base Champenoise champanha,2013,359617
Base Champenoise champanha,2014,234725
Base Champenoise champanha,2015,605001
Base Champenoise champanha,2016,740395
Base Champenoise champanha,2017,1552403
Base Champenoise champanha,2018,228518
Base Champenoise champanha,2019,274903
Base Champenoise champanha,2020,200777
Base Champenoise champanha,2021,0
Base Champenoise champanha,2022,1146717
Base Champenoise champanha,2023,1552243
Base Charmat champanha,1970,0
Base Charmat champanha,1971,0
Base Charmat champanha,1972,0
Base Charmat champanha,1973,0
Base Charmat champanha,1974,0
Base Charmat champanha,1975,0
Base Charmat champanha,1976,0
Base Charmat champanha,1977,0
Base Charmat champanha,1978,0
Base Charmat champanha,1979,0
Base Charmat champanha,1980,0
Base Charmat champanha,1981,0
Base Charmat champanha,1982,0
Base Charmat champanha,1983,0
Base Charmat champanha,1984,0
Base Charmat champanha,1985,0
Base Charmat champanha,1986,0
Base Charmat champanha,1987,0
Base Charmat champanha,1988,0
Base Charmat champanha,1989,0
Base Charmat champanha,1990,0
Base Charmat champanha,1991,0
Base Charmat champanha,1992,0
Base Charmat champanha,1993,0
Base Charmat champanha,1994,0
Base Charmat champanha,1995,0
Base Charmat champanha,1996,0
Base Charmat champanha,1997,0
Base Charmat champanha,1998,0
Base Charmat champanha,1999,0
Base Charmat champanha,2000,0
Base Charmat champanha,2001,0
Base Charmat champanha,2002,0
Base Charmat champanha,2003,0
Base Charmat champanha,2004,0
Base Charmat champanha,2005,0
Base Charmat champanha,2006,0
Base Charmat champanha,2007,0
Base Charmat champanha,2008,0
Base Charmat champanha,2009,0
Base Charmat champanha,2010,254000
Base Charmat champanha,2011,865858
Base Charmat champanha,2012,479625
Base Charmat champanha,2013,624728
Base Charmat champanha,2014,376968
Base Charmat champanha,2015,1466259
Base Charmat champanha,2016,250280
Base Charmat champanha,2017,893364
Base Charmat champanha,2018,1746540
Base Charmat champanha,2019,1188095
Base Charmat champanha,2020,2487939
Base Charmat champanha,2021,0
Base Charmat champanha,2022,4078766
Base Charmat champanha,2023,5418118
Base espumante,1970,0
Base espumante,1971,0
Base espumante,1972,0
Base espumante,1973,0
Base espumante,1974,0
Base espumante,1975,0
Base espumante,1976,0
Base espumante,1977,0
Base espumante,1978,0
Base espumante,1979,0
Base espumante,1980,0
Base espumante,1981,0
Base espumante,1982,0
Base espumante,1983,0
Base espumante,1984,0
Base espumante,1985,0
Base espumante,1986,0
Base espumante,1987,0
Base espumante,1988,0
Base espumante,1989,0
Base espumante,1990,0
Base espumante,1991,0
Base espumante,1992,0
Base espumante,1993,0
Base espumante,1994,0
Base espumante,1995,0
Base espumante,1996,0
Base espumante,1997,0
Base espumante,1998,0
Base espumante,1999,0
Base espumante,2000,0
Base espumante,2001,0
Base espumante,2002,0
Base espumante,2003,0
Base espumante,2004,0
Base espumante,2005,239000
Base espumante,2006,0
Base espumante,2007,78250
Base espumante,2008,220120
Base espumante,2009,335850
Base espumante,2010,0
Base espumante,2011,0
Base espumante,2012,0
Base espumante,2013,0
Base espumante,2014,0
Base espumante,2015,0
Base espumante,2016,0
Base espumante,2017,0
Base espumante,2018,0
Base espumante,2019,0
Base espumante,2020,0
Base espumante,2021,5475049
Base espumante,2022,0
Base espumante,2023,0
Base espumante moscatel,1970,0
Base espumante moscatel,1971,0
Base espumante moscatel,1972,0
Base espumante moscatel,1973,0
Base espumante moscatel,1974,0
Base espumante moscatel,1975,0
Base espumante moscatel,1976,0
Base espumante moscatel,1977,0
Base espumante moscatel,1978,0
Base espumante moscatel,1979,0
Base espumante moscatel,1980,0
Base espumante moscatel,1981,0
Base espumante moscatel,1982,0
Base espumante moscatel,1983,0
Base espumante moscatel,1984,0
Base espumante moscatel,1985,0
Base espumante moscatel,1986,0
Base espumante moscatel,1987,0
Base espumante moscatel,1988,0
Base espumante moscatel,1989,0
Base espumante moscatel,1990,0
Base espumante moscatel,1991,0
Base espumante moscatel,1992,0
Base espumante moscatel,1993,0
Base espumante moscatel,1994,0
Base espumante moscatel,1995,0
Base espumante moscatel,1996,0
Base espumante moscatel,1997,0
Base espumante moscatel,1998,0
Base espumante moscatel,1999,0
Base espumante moscatel,2000,0
Base espumante moscatel,2001,0
Base espumante moscatel,2002,0
Base espumante moscatel,2003,0
Base espumante moscatel,2004,98900
Base espumante moscatel,2005,212400
Base espumante moscatel,2006,362589
Base espumante moscatel,2007,111200
Base espumante moscatel,2008,474721
Base espumante moscatel,2009,442150
Base espumante moscatel,2010,1144508
Base espumante moscatel,2011,2749540
Base espumante moscatel,2012,2798908
Base espumante moscatel,2013,1470700
Base espumante moscatel,2014,1808044
Base espumante moscatel,2015,1607727
Base espumante moscatel,2016,1325700
Base espumante moscatel,2017,1965629
Base espumante moscatel,2018,1320650
Base espumante moscatel,2019,1962443
Base espumante moscatel,2020,3006705
Base espumante moscatel,2021,5549471
Base espumante moscatel,2022,6308043
Base espumante moscatel,2023,6734590
Bebida de uva,1970,0
Bebida de uva,1971,0
Bebida de uva,1972,0
Bebida de uva,1973,0
Bebida de uva,1974,0
Bebida de uva,1975,0
Bebida de uva,1976,0
Bebida de uva,1977,0
Bebida de uva,1978,0
Bebida de uva,1979,0
Bebida de uva,1980,0
Bebida de uva,1981,0
Bebida de uva,1982,0
Bebida de uva,1983,0
Bebida de uva,1984,0
Bebida de uva,1985,0
Bebida de uva,1986,0
Bebida de uva,1987,0
Bebida de uva,1988,0
Bebida de uva,1989,0
Bebida de uva,1990,0
Bebida de uva,1991,0
Bebida de uva,1992,0
Bebida de uva,1993,0
Bebida de uva,1994,0
Bebida de uva,1995,0
Bebida de uva,1996,0
Bebida de uva,1997,0
Bebida de uva,1998,0
Bebida de uva,1999,0
Bebida de uva,2000,0
Bebida de uva,2001,0
Bebida de uva,2002,0
Bebida de uva,2003,0
Bebida de uva,2004,0
Bebida de uva,2005,0
Bebida de uva,2006,0
Bebida de uva,2007,0
Bebida de uva,2008,1082700
Bebida de uva,2009,420
Bebida de uva,2010,7900
Bebida de uva,2011,0
Bebida de uva,2012,0
Bebida de uva,2013,4260
Bebida de uva,2014,3860
Bebida de uva,2015,922
Bebida de uva,2016,3474
Bebida de uva,2017,0
Bebida de uva,2018,0
Bebida de uva,2019,0
Bebida de uva,2020,0
Bebida de uva,2021,2000
Bebida de uva,2022,0
Bebida de uva,2023,1627
Borra líquida,1970,3847673
Borra líquida,1971,3565644
Borra líquida,1972,3015037
Borra líquida,1973,3559922
Borra líquida,1974,5136979
Borra líquida,1975,4624839
Borra líquida,1976,3393173
Borra líquida,1977,0
Borra líquida,1978,0
Borra líquida,1979,0
Borra líquida,1980,0
Borra líquida,1981,3767852
Borra líquida,1982,0
Borra líquida,1983,0
Borra líquida,1984,0
Borra líquida,1985,5095798
Borra líquida,1986,6357648
Borra líquida,1987,5142446
Borra líquida,1988,1953488
Borra líquida,1989,2426804
Borra líquida,1990,1282381
Borra líquida,1991,1649130
Borra líquida,1992,1400200
Borra líquida,1993,0
Borra líquida,1994,0
Borra líquida,1995,0
Borra líquida,1996,0
Borra líquida,1997,0
Borra líquida,1998,0
Borra líquida,1999,0
Borra líquida,2000,9626928
Borra líquida,2001,8216162
Borra líquida,2002,8541861
Borra líquida,2003,3126172
Borra líquida,2004,1044490
Borra líquida,2005,526016
Borra líquida,2006,57333
Borra líquida,2007,2095873
Borra líquida,2008,1679775
Borra líquida,2009,0
Borra líquida,2010,64304
Borra líquida,2011,0
Borra líquida,2012,0
Borra líquida,2013,63111
Borra líquida,2014,50954
Borra líquida,2015,48833
Borra líquida,2016,24975
Borra líquida,2017,0
Borra líquida,2018,255100
Borra líquida,2019,901431
Borra líquida,2020,509378
Borra líquida,2021,116450
Borra líquida,2022,0
Borra líquida,2023,758140
Borra seca,1970,0
Borra seca,1971,0
Borra seca,1972,0
Borra seca,1973,0
Borra seca,1974,0
Borra seca,1975,0
Borra seca,1976,0
Borra seca,1977,0
Borra seca,1978,0
Borra seca,1979,0
Borra seca,1980,0
Borra seca,1981,0
Borra seca,1982,0
Borra seca,1983,0
Borra seca,1984,0
Borra seca,1985,0
Borra seca,1986,0
Borra seca,1987,0
Borra seca,1988,0
Borra seca,1989,0
Borra seca,1990,0
Borra seca,1991,0
Borra seca,1992,0
Borra seca,1993,0
Borra seca,1994,0
Borra seca,1995,0
Borra seca,1996,0
Borra seca,1997,0
Borra seca,1998,0
Borra seca,1999,0
Borra seca,2000,0
Borra seca,2001,0
Borra seca,2002,0
Borra seca,2003,0
Borra seca,2004,0
Borra seca,2005,0
Borra seca,2006,0
Borra seca,2007,0
Borra seca,2008,0
Borra seca,2009,0
Borra seca,2010,149981
Borra seca,2011,0
Borra seca,2012,0
Borra seca,2013,78397
Borra seca,2014,142850
Borra seca,2015,120230
Borra seca,2016,82367
Borra seca,2017,0
Borra seca,2018,70480
Borra seca,2019,25996
Borra seca,2020,167587
Borra seca,2021,16789
Borra seca,2022,0
Borra seca,2023,17200
Branco,1970,748400
Branco,1970,15562889
Branco,1971,1160500
Branco,1971,15655709
Branco,1972,1812367
Branco,1972,13289304
Branco,1973,243900
Branco,1973,7930070
Branco,1974,4138768
Branco,1974,18927471
Branco,1975,1441507
Branco,1975,21933695
Branco,1976,1871473
Branco,1976,19874659
Branco,1977,4954387
Branco,1977,20409231
Branco,1978,5079748
Branco,1978,17640081
Branco,1979,7146395
Branco,1979,25727132
Branco,1980,5363452
Branco,1980,19326572
Branco,1981,12547739
Branco,1981,27528276
Branco,1982,15782499
Branco,1982,34423412
Branco,1983,12191896
Branco,1983,24164361
Branco,1984,19502230
Branco,1984,30395959
Branco,1985,23010666
Branco,1985,44679484
Branco,1986,16872183
Branco,1986,34794145
Branco,1987,27497857
Branco,1987,35432544
Branco,1988,32660045
Branco,1988,56441847
Branco,1989,24603265
Branco,1989,54983093
Branco,1990,33512030
Branco,1990,52080420
Branco,1991,25046588
Branco,1991,33307472
Branco,1992,25446255
Branco,1992,38856367
Branco,1993,31986075
Branco,1993,40415898
Branco,1994,28291853
Branco,1994,42419680
Branco,1995,15472732
Branco,1995,34209738
Branco,1996,24073622
Branco,1996,31893892
Branco,1997,41842945
Branco,1997,33792167
Branco,1998,32140249
Branco,1998,24384090
Branco,1999,42528150
Branco,1999,30674840
Branco,2000,44902276
Branco,2000,36955126
Branco,2001,44322836
Branco,2001,20393594
Branco,2002,35329657
Branco,2002,17911689
Branco,2003,40861639
Branco,2003,14058481
Branco,2004,51719967
Branco,2004,19803647
Branco,2005,39212146
Branco,2005,20012363
Branco,2006,31738390
Branco,2006,13249969
Branco,2007,42118552
Branco,2007,17598428
Branco,2008,42942053
Branco,2008,18812571
Branco,2009,39211278
Branco,2009,21366975
Branco,2010,35408083
Branco,2010,13013027
Branco,2011,46007504
Branco,2011,22739426
Branco,2012,34938249
Branco,2012,20647238
Branco,2013,32066403
Branco,2013,21906349
Branco,2014,37438069
Branco,2014,20054804
Branco,2015,39557250
Branco,2015,19561966
Branco,2016,10727099
Branco,2016,8705066
Branco,2017,217527985
Branco,2017,21928400
Branco,2018,29229970
Branco,2018,18297257
Branco,2019,22032828
Branco,2019,18193055
Branco,2020,19568734
Branco,2020,15487915
Branco,2021,26432799
Branco,2021,20867999
Branco,2022,30198430
Branco,2022,20896613
Branco,2023,27910299
Branco,2023,20693437
Brandy,1970,0
Brandy,1971,0
Brandy,1972,0
Brandy,1973,0
Brandy,1974,0
Brandy,1975,0
Brandy,1976,0
Brandy,1977,0
Brandy,1978,0
Brandy,1979,0
Brandy,1980,0
Brandy,1981,0
Brandy,1982,0
Brandy,1983,0
Brandy,1984,0
Brandy,1985,13000
Brandy,1986,0
Brandy,1987,0
Brandy,1988,5216
Brandy,1989,6500
Brandy,1990,0
Brandy,1991,0
Brandy,1992,0
Brandy,1993,0
Brandy,1994,0
Brandy,1995,0
Brandy,1996,0
Brandy,1997,0
Brandy,1998,0
Brandy,1999,0
Brandy,2000,0
Brandy,2001,0
Brandy,2002,0
Brandy,2003,0
Brandy,2004,0
Brandy,2005,0
Brandy,2006,0
Brandy,2007,0
Brandy,2008,0
Brandy,2009,0
Brandy,2010,0
Brandy,2011,0
Brandy,2012,0
Brandy,2013,0
Brandy,2014,0
Brandy,2015,0
Brandy,2016,0
Brandy,2017,0
Brandy,2018,0
Brandy,2019,0
Brandy,2020,0
Brandy,2021,120
Brandy,2022,0
Brandy,2023,450
Compostos,1970,0
Compostos,1971,45000
Compostos,1972,1358300
Compostos,1973,1628000
Compostos,1974,0
Compostos,1975,0
Compostos,1976,0
Compostos,1977,0
Compostos,1978,75000
Compostos,1979,0
Compostos,1980,0
Compostos,1981,0
Compostos,1982,0
Compostos,1983,0
Compostos,1984,0
Compostos,1985,0
Compostos,1986,0
Compostos,1987,0
Compostos,1988,2000
Compostos,1989,1900
Compostos,1990,0
Compostos,1991,0
Compostos,1992,0
Compostos,1993,0
Compostos,1994,0
Compostos,1995,0
Compostos,1996,0
Compostos,1997,0
Compostos,1998,0
Compostos,1999,0
Compostos,2000,0
Compostos,2001,0
Compostos,2002,0
Compostos,2003,0
Compostos,2004,0
Compostos,2005,0
Compostos,2006,0
Compostos,2007,0
Compostos,2008,0
Compostos,2009,0
Compostos,2010,0
Compostos,2011,0
Compostos,2012,7600
Compostos,2013,0
Compostos,2014,0
Compostos,2015,0
Compostos,2016,0
Compostos,2017,0
Compostos,2018,0
Compostos,2019,0
Compostos,2020,0
Compostos,2021,0
Compostos,2022,0
Compostos,2023,0
DERIVADOS,1970,14164329
DERIVADOS,1971,13280518
DERIVADOS,1972,12314509
DERIVADOS,1973,28317919
DERIVADOS,1974,47904934
DERIVADOS,1975,53633143
DERIVADOS,1976,22925012
DERIVADOS,1977,24015856
DERIVADOS,1978,41607777
DERIVADOS,1979,35370846
DERIVADOS,1980,37553414
DERIVADOS,1981,52530037
DERIVADOS,1982,37506770
DERIVADOS,1983,27314628
DERIVADOS,1984,17331744
DERIVADOS,1985,17336419
DERIVADOS,1986,14785645
DERIVADOS,1987,14905862
DERIVADOS,1988,19644584
DERIVADOS,1989,12004574
DERIVADOS,1990,16191621
DERIVADOS,1991,20352398
DERIVADOS,1992,29469940
DERIVADOS,1993,17573100
DERIVADOS,1994,16053642
DERIVADOS,1995,23637100
DERIVADOS,1996,12754798
DERIVADOS,1997,24553317
DERIVADOS,1998,14693351
DERIVADOS,1999,23422306
DERIVADOS,2000,25959016
DERIVADOS,2001,15498842
DERIVADOS,2002,28122348
DERIVADOS,2003,24108352
DERIVADOS,2004,28471858
DERIVADOS,2005,25541605
DERIVADOS,2006,27752531
DERIVADOS,2007,42011603
DERIVADOS,2008,59622293
DERIVADOS,2009,56787892
DERIVADOS,2010,51210756
DERIVADOS,2011,85748723
DERIVADOS,2012,100757101
DERIVADOS,2013,64072127
DERIVADOS,2014,62907281
DERIVADOS,2015,107349704
DERIVADOS,2016,53950314
DERIVADOS,2017,109116761
DERIVADOS,2018,95202101
DERIVADOS,2019,142888747
DERIVADOS,2020,92533804
DERIVADOS,2021,169031493
DERIVADOS,2022,138501226
DERIVADOS,2023,174716647
Destilado,1970,830030
Destilado,1971,0
Destilado,1972,0
Destilado,1973,0
Destilado,1974,0
Destilado,1975,0
Destilado,1976,0
Destilado,1977,0
Destilado,1978,0
Destilado,1979,0
Destilado,1980,0
Destilado,1981,0
Destilado,1982,0
Destilado,1983,0
Destilado,1984,0
Destilado,1985,342650
Destilado,1986,222230
Destilado,1987,472576
Destilado,1988,287220
Destilado,1989,176800
Destilado,1990,0
Destilado,1991,0
Destilado,1992,0
Destilado,1993,0
Destilado,1994,0
Destilado,1995,0
Destilado,1996,0
Destilado,1997,0
Destilado,1998,0
Destilado,1999,7350
Destilado,2000,1960
Destilado,2001,0
Destilado,2002,0
Destilado,2003,0
Destilado,2004,1000
Destilado,2005,0
Destilado,2006,0
Destilado,2007,0
Destilado,2008,0
Destilado,2009,0
Destilado,2010,0
Destilado,2011,0
Destilado,2012,0
Destilado,2013,0
Destilado,2014,0
Destilado,2015,0
Destilado,2016,0
Destilado,2017,0
Destilado,2018,680
Destilado,2019,0
Destilado,2020,0
Destilado,2021,0
Destilado,2022,0
Destilado,2023,0
Destilado alcoólico simples de bagaceira ,1970,0
Destilado alcoólico simples de bagaceira ,1971,0
Destilado alcoólico simples de bagaceira ,1972,0
Destilado alcoólico simples de bagaceira ,1973,0
Destilado alcoólico simples de bagaceira ,1974,0
Destilado alcoólico simples de bagaceira ,1975,0
Destilado alcoólico simples de bagaceira ,1976,0
Destilado alcoólico simples de bagaceira ,1977,0
Destilado alcoólico simples de bagaceira ,1978,0
Destilado alcoólico simples de bagaceira ,1979,0
Destilado alcoólico simples de bagaceira ,1980,0
Destilado alcoólico simples de bagaceira ,1981,0
Destilado alcoólico simples de bagaceira ,1982,0
Destilado alcoólico simples de bagaceira ,1983,0
Destilado alcoólico simples de bagaceira ,1984,0
Destilado alcoólico simples de bagaceira ,1985,0
Destilado alcoólico simples de bagaceira ,1986,0
Destilado alcoólico simples de bagaceira ,1987,0
Destilado alcoólico simples de bagaceira ,1988,0
Destilado alcoólico simples de bagaceira ,1989,0
Destilado alcoólico simples de bagaceira ,1990,0
Destilado alcoólico simples de bagaceira ,1991,0
Destilado alcoólico simples de bagaceira ,1992,0
Destilado alcoólico simples de bagaceira ,1993,0
Destilado alcoólico simples de bagaceira ,1994,0
Destilado alcoólico simples de bagaceira ,1995,0
Destilado alcoólico simples de bagaceira ,1996,0
Destilado alcoólico simples de bagaceira ,1997,0
Destilado alcoólico simples de bagaceira ,1998,0
Destilado alcoólico simples de bagaceira ,1999,0
Destilado alcoólico simples de bagaceira ,2000,0
Destilado alcoólico simples de bagaceira ,2001,0
Destilado alcoólico simples de bagaceira ,2002,0
Destilado alcoólico simples de bagaceira ,2003,0
Destilado alcoólico simples de bagaceira ,2004,0
Destilado alcoólico simples de bagaceira ,2005,0
Destilado alcoólico simples de bagaceira ,2006,0
Destilado alcoólico simples de bagaceira ,2007,0
Destilado alcoólico simples de bagaceira ,2008,0
Destilado alcoólico simples de bagaceira ,2009,0
Destilado alcoólico simples de bagaceira ,2010,0
Destilado alcoólico simples de bagaceira ,2011,0
Destilado alcoólico simples de bagaceira ,2012,0
Destilado alcoólico simples de bagaceira ,2013,0
Destilado alcoólico simples de bagaceira ,2014,0
Destilado alcoólico simples de bagaceira ,2015,0
Destilado alcoólico simples de bagaceira ,2016,0
Destilado alcoólico simples de bagaceira ,2017,0
Destilado alcoólico simples de bagaceira ,2018,0
Destilado alcoólico simples de bagaceira ,2019,0
Destilado alcoólico simples de bagaceira ,2020,500
Destilado alcoólico simples de bagaceira ,2021,3000
Destilado alcoólico simples de bagaceira ,2022,4300
Destilado alcoólico simples de bagaceira ,2023,0
Espumante,1970,0
Espumante,1971,0
Espumante,1972,0
Espumante,1973,0
Espumante,1974,0
Espumante,1975,0
Espumante,1976,0
Espumante,1977,0
Espumante,1978,0
Espumante,1979,0
Espumante,1980,0
Espumante,1981,0
Espumante,1982,0
Espumante,1983,0
Espumante,1984,0
Espumante,1985,0
Espumante,1986,0
Espumante,1987,0
Espumante,1988,76000
Espumante,1989,0
Espumante,1990,0
Espumante,1991,0
Espumante,1992,11000
Espumante,1993,0
Espumante,1994,0
Espumante,1995,0
Espumante,1996,0
Espumante,1997,0
Espumante,1998,0
Espumante,1999,6900
Espumante,2000,71410
Espumante,2001,0
Espumante,2002,0
Espumante,2003,0
Espumante,2004,3999
Espumante,2005,1920
Espumante,2006,26600
Espumante,2007,0
Espumante,2008,88690
Espumante,2009,0
Espumante,2010,10125
Espumante,2011,26361
Espumante,2012,17200
Espumante,2013,30275
Espumante,2014,2700
Espumante,2015,23750
Espumante,2016,1500
Espumante,2017,11280
Espumante,2018,68500
Espumante,2019,52176
Espumante,2020,32399
Espumante,2021,70091
Espumante,2022,70759
Espumante,2023,65525
Espumante moscatel,1970,0
Espumante moscatel,1971,0
Espumante moscatel,1972,0
Espumante moscatel,1973,0
Espumante moscatel,1974,0
Espumante moscatel,1975,0
Espumante moscatel,1976,0
Espumante moscatel,1977,0
Espumante moscatel,1978,0
Espumante moscatel,1979,0
Espumante moscatel,1980,0
Espumante moscatel,1981,0
Espumante moscatel,1982,0
Espumante moscatel,1983,0
Espumante moscatel,1984,0
Espumante moscatel,1985,0
Espumante moscatel,1986,0
Espumante moscatel,1987,0
Espumante moscatel,1988,0
Espumante moscatel,1989,0
Espumante moscatel,1990,0
Espumante moscatel,1991,0
Espumante moscatel,1992,0
Espumante moscatel,1993,0
Espumante moscatel,1994,0
Espumante moscatel,1995,0
Espumante moscatel,1996,0
Espumante moscatel,1997,0
Espumante moscatel,1998,0
Espumante moscatel,1999,0
Espumante moscatel,2000,0
Espumante moscatel,2001,276099
Espumante moscatel,2002,0
Espumante moscatel,2003,147600
Espumante moscatel,2004,204000
Espumante moscatel,2005,514480
Espumante moscatel,2006,320514
Espumante moscatel,2007,589332
Espumante moscatel,2008,1113462
Espumante moscatel,2009,1190500
Espumante moscatel,2010,703393
Espumante moscatel,2011,219100
Espumante moscatel,2012,139775
Espumante moscatel,2013,159781
Espumante moscatel,2014,100000
Espumante moscatel,2015,110100
Espumante moscatel,2016,100000
Espumante moscatel,2017,152375
Espumante moscatel,2018,326200
Espumante moscatel,2019,515800
